"URT Data for 23 Cities, 2015-2024",,,,,,,,,,,
Year,DMU,"Number of
 assigned vehicles (List)","Operating kilometers 
(10,000 vehicle kilometers)","Total operational energy consumption 
(Thousand kilowatt-hours)","Passenger traffic volume
(Ten thousand people)",CE (×10^4 tCO2),GDP (Billion yuan), route length (Km),"Average daily number of 
actual transactions (train trips)",,
2024,Xi'an,488,28864 ,95021 ,140640 ,62.31 ,13318 ,446 ,4480,,
2015,Kunming,40,3237 ,11308 ,8367 ,1.21 ,4342 ,59 ,406,,
2016,Kunming,40,2663 ,10063 ,8841 ,1.08 ,4757 ,63 ,428,,
2017,Kunming,82,3411 ,13063 ,12483 ,1.40 ,5430 ,104 ,830,,
2018,Kunming,82,4798 ,18414 ,19958 ,1.98 ,6021 ,115 ,842,,
2019,Kunming,82,4812 ,18632 ,21405 ,2.00 ,6492 ,131 ,845,,
2020,Kunming,122,5523 ,21836 ,15926 ,2.34 ,6733 ,139 ,1166,,
2021,Kunming,122,8266 ,30006 ,22189 ,3.22 ,7224 ,139 ,1250,,
2022,Kunming,151,9146 ,34810 ,18571 ,3.74 ,7541 ,166 ,1547,,
2023,Kunming,151,9900 ,34563 ,29205 ,3.71 ,7865 ,166 ,1533,,
2024,Kunming,151,9917 ,34269 ,30742 ,3.68 ,8275 ,166 ,1532,,
2017,Zhengzhou,96,5132 ,19564 ,25230 ,11.85 ,9302 ,137 ,718,,
2018,Zhengzhou,106,6274 ,21628 ,29341 ,13.10 ,10670 ,137 ,870,,
2019,Zhengzhou,151,8578 ,29858 ,41121 ,18.09 ,11586 ,195 ,1376,,
2020,Zhengzhou,175,8218 ,31021 ,34101 ,18.79 ,11850 ,244 ,1547,,
2021,Zhengzhou,241,11468 ,37221 ,42961 ,22.55 ,12538 ,249 ,1798,,
2022,Zhengzhou,253,11419 ,49721 ,29770 ,30.12 ,12736 ,275 ,1793,,
2023,Zhengzhou,289,16617 ,50640 ,58317 ,30.68 ,13618 ,354 ,2878,,
2024,Zhengzhou,370,19872 ,66791 ,69727 ,40.46 ,14532 ,459 ,3606,,
2017,Shenzhen,375,25752 ,117820 ,144622 ,51.88 ,23280 ,298 ,3718,,
2018,Shenzhen,366,26150 ,119784 ,164605 ,52.74 ,25266 ,298 ,3603,,
2019,Shenzhen,399,27512 ,126027 ,179138 ,55.49 ,26992 ,316 ,3752,,
2020,Shenzhen,532,34585 ,172617 ,162673 ,76.00 ,27759 ,423 ,4677,,
2021,Shenzhen,574,43456 ,159487 ,218633 ,70.22 ,30820 ,431 ,5571,,
2022,Shenzhen,669,43856 ,168635 ,174960 ,74.25 ,32481 ,567 ,5431,,
2023,Shenzhen,715,55195 ,219210 ,271112 ,96.52 ,34606 ,576 ,7244,,
2024,Shenzhen,765,56543 ,227137 ,310187 ,100.01 ,36802 ,604 ,7682,,
2017,Guangzhou,451,28207 ,130901 ,280561 ,57.64 ,19872 ,365 ,6398,,
